animal,injuries,lat,lon
Pilot whale 130, 03- Inability to use appendage(s), 67.422, -27.838
North Atlantic right whale 101, 14- Killed, 152.126, -71.649
Striped dolphin, 10- Equilibrium imbalance, -49.059, -78.759
Dall’s porpoise, 13- Other wound or injury, -87.348, -73.378
Harbor porpoise, 12- Released trailing gear/gear perforating body, -165.704, -79.833
Unidentified small cetacean, 12- Released trailing gear/gear perforating body, -18.658, 61.747
Northern right whale dolphin, 10- Equilibrium imbalance, -100.354, 3.983
Killer whale 129, 10- Equilibrium imbalance, 98.007, -35.912
Spinner dolphin, 13- Other wound or injury, 42.382, -41.04
Sperm `whale 121, 06- Laceration (deep cut), 141.873, -52.885
Spinner dolphin, 09- Inability to swim or dive, 123.051, -29.437
Beaked whale 131, 05- Any noticeable swelling or hemorrhage (bruising), -32.218, -8.204
Fin whale 115, 06- Laceration (deep cut), -33.81, -51.558
Unidentified small cetacean, 01 - Visible blood flow, -98.052, 49.78
Beluga whale 124, 13- Other wound or injury, 110.195, -79.294
Grampus (Risso’s) dolphin, 05- Any noticeable swelling or hemorrhage (bruising), 51.195, -21.923
Fin whale 115, 13- Other wound or injury, -140.659, 67.395
Beaked whale 131, 13- Other wound or injury, -144.371, 49.897
Bottlenose dolphin, 09- Inability to swim or dive, 127.839, 56.14
Grampus (Risso’s) dolphin, 11- Ingestion of gear, 170.296, -80.504
Unidentified toothed whale, 04- Asymmetry in shape of body or body position, -83.421, 79.588
Atlantic white-sided dolphin, 07- Rupture or puncture of eyeball, 73.823, -71.592
Sperm `whale 121, 06- Laceration (deep cut), -143.729, 55.043
Harbor porpoise, 09- Inability to swim or dive, -168.777, -5.11
Bryde’s whale 132, 12- Released trailing gear/gear perforating body, -130.085, -10.973
Pacific white-sided dolphin, 08- Listlessness or inability to defend, -116.758, 37.059
Unidentified baleen whale 204, 07- Rupture or puncture of eyeball, 69.541, 27.447
Beaked whale 131, 06- Laceration (deep cut), -36.851, -25.495
Grampus (Risso’s) dolphin, 02- Loss of/damage to appendage/jaw, -95.586, 25.699
Spinner dolphin, 03- Inability to use appendage(s), 18.658, 64.813
Northern right whale dolphin, 08- Listlessness or inability to defend, -87.437, -11.977
Unidentified baleen whale 204, 10- Equilibrium imbalance, -118.887, 78.85
Unidentified toothed whale, 02- Loss of/damage to appendage/jaw, -174.652, -88.228
Spinner dolphin, 09- Inability to swim or dive, -59.988, 57.65
Sperm `whale 121, 02- Loss of/damage to appendage/jaw, 25.439, -46.642
Sperm `whale 121, 08- Listlessness or inability to defend, -30.655, 38.779
Pilot whale 130, 01 - Visible blood flow, 66.915, -30.383
Unidentified small cetacean, 09- Inability to swim or dive, -90.015, 9.929
Northern right whale dolphin, 06- Laceration (deep cut), 30.67, 5.918
Humpback whale 117, 14- Killed, -5.019, 81.26
Minke whale 116, 10- Equilibrium imbalance, -128.936, 49.982
Common dolphin, 06- Laceration (deep cut), -142.015, 70.734
Harbor porpoise, 04- Asymmetry in shape of body or body position, 57.862, 5.485
Unidentified baleen whale 204, 10- Equilibrium imbalance, 82.684, 63.068
Atlantic white-sided dolphin, 09- Inability to swim or dive, 138.328, -46.852
Bryde’s whale 132, 10- Equilibrium imbalance, -20.405, -48.538
False killer whale 127, 11- Ingestion of gear, 171.388, -65.792
Beluga whale 124, 03- Inability to use appendage(s), 145.916, 74.42
North Atlantic right whale 101, 10- Equilibrium imbalance, -111.221, 44.682
Sperm `whale 121, 08- Listlessness or inability to defend, 30.512, -45.438
Beaked whale 131, 13- Other wound or injury, 175.774, 47.339
Humpback whale 117, 10- Equilibrium imbalance, -162.93, 81.791
Beaked whale 131, 07- Rupture or puncture of eyeball, 37.577, 83.214
Common dolphin, 10- Equilibrium imbalance, -1.862, -54.455
Pilot whale 130, 05- Any noticeable swelling or hemorrhage (bruising), 97.348, 33.259
Spinner dolphin, 08- Listlessness or inability to defend, -70.123, 51.567
Unidentified toothed whale, 01 - Visible blood flow, 58.811, -3.109
Spotted dolphin, 03- Inability to use appendage(s), -79.033, 43.255
Pilot whale 130, 03- Inability to use appendage(s), -92.814, 58.825
Gray whale 105, 05- Any noticeable swelling or hemorrhage (bruising), 10.74, 52.901
Minke whale 116, 14- Killed, 46.406, 32.249
Pacific white-sided dolphin, 14- Killed, 55.779, -84.809
Bottlenose dolphin, 03- Inability to use appendage(s), -179.913, -70.586
Pacific white-sided dolphin, 09- Inability to swim or dive, 156.102, 61
Bryde’s whale 132, 01 - Visible blood flow, -95.901, 3.633
Dall’s porpoise, 11- Ingestion of gear, 39.086, 11.007
Unidentified toothed whale, 04- Asymmetry in shape of body or body position, -45.502, 52.309
Harbor porpoise, 08- Listlessness or inability to defend, -157.127, -34.096
Spotted dolphin, 05- Any noticeable swelling or hemorrhage (bruising), 166.974, 34.371
Striped dolphin, 10- Equilibrium imbalance, -76.363, 67.567
Pacific white-sided dolphin, 10- Equilibrium imbalance, 73.27, -17.5
Killer whale 129, 01 - Visible blood flow, -45.382, 9.205
Unidentified baleen whale 204, 12- Released trailing gear/gear perforating body, -172.007, -69.401
Minke whale 116, 03- Inability to use appendage(s), 151.585, 50.626
Minke whale 116, 10- Equilibrium imbalance, -89.189, -46.512
Beluga whale 124, 12- Released trailing gear/gear perforating body, 116.569, -54.583
North Atlantic right whale 101, 07- Rupture or puncture of eyeball, 159.487, -70.992
Beaked whale 131, 12- Released trailing gear/gear perforating body, -114.75, -0.081
Harbor porpoise, 07- Rupture or puncture of eyeball, -41.415, -67.285
Spotted dolphin, 12- Released trailing gear/gear perforating body, 101.984, 12.97
Unidentified baleen whale 204, 04- Asymmetry in shape of body or body position, -134.404, -1.547
Spotted dolphin, 06- Laceration (deep cut), -6.861, 78.793
Humpback whale 117, 08- Listlessness or inability to defend, -49.252, -86.49
Atlantic white-sided dolphin, 13- Other wound or injury, 66.794, -70.53
Sperm `whale 121, 14- Killed, -109.874, 21.483
Beaked whale 131, 12- Released trailing gear/gear perforating body, 108.922, -54.199
Spinner dolphin, 09- Inability to swim or dive, -72.558, 28.683
Northern right whale dolphin, 07- Rupture or puncture of eyeball, -76.265, 86.83
Fin whale 115, 02- Loss of/damage to appendage/jaw, 82.985, -65.858
Atlantic white-sided dolphin, 01 - Visible blood flow, -145.883, 66.293
Steller (northern) sea lion, 03- Inability to use appendage(s), -124.94, -89.674
Atlantic white-sided dolphin, 09- Inability to swim or dive, 178.489, -28.721
Minke whale 116, 14- Killed, -126.264, 4.237
Fin whale 115, 02- Loss of/damage to appendage/jaw, 157.005, -29.733
Beluga whale 124, 03- Inability to use appendage(s), -48.665, -86.449
Bryde’s whale 132, 08- Listlessness or inability to defend, -37.804, 35.135
Grampus (Risso’s) dolphin, 08- Listlessness or inability to defend, -105.378, -48.468
Humpback whale 117, 03- Inability to use appendage(s), -65.994, 46.392
Killer whale 129, 05- Any noticeable swelling or hemorrhage (bruising), -75.75, 34.02
False killer whale 127, 11- Ingestion of gear, -156.279, 33.047
Common dolphin, 01 - Visible blood flow, -33.334, 77.562
Unidentified baleen whale 204, 08- Listlessness or inability to defend, -44.189, -16.875
Killer whale 129, 06- Laceration (deep cut), -88.169, -11.658
Pacific white-sided dolphin, 14- Killed, -158.927, -5.834
Minke whale 116, 07- Rupture or puncture of eyeball, -123.242, 55.949
Gray whale 105, 14- Killed, 93.873, 76.779
Steller (northern) sea lion, 07- Rupture or puncture of eyeball, 20.812, 41.689
Humpback whale 117, 10- Equilibrium imbalance, 2.358, -70.897
Striped dolphin, 12- Released trailing gear/gear perforating body, -67.188, 86.158
Minke whale 116, 06- Laceration (deep cut), 84.025, 77.171
Bryde’s whale 132, 13- Other wound or injury, -110.671, -60.639
North Atlantic right whale 101, 09- Inability to swim or dive, 143.206, -28.464
Grampus (Risso’s) dolphin, 02- Loss of/damage to appendage/jaw, 18.474, 14.697
Humpback whale 117, 14- Killed, -134.711, 47.063
False killer whale 127, 10- Equilibrium imbalance, 9.051, -89.189
Common dolphin, 03- Inability to use appendage(s), -17.327, 4.817
Beaked whale 131, 03- Inability to use appendage(s), 32.553, -70.014
North Atlantic right whale 101, 04- Asymmetry in shape of body or body position, 17.288, -44.414
Harbor porpoise, 07- Rupture or puncture of eyeball, 105.373, -71.684
Northern right whale dolphin, 01 - Visible blood flow, -125.043, -89.043
Harbor porpoise, 03- Inability to use appendage(s), 63.843, 28.87
Steller (northern) sea lion, 06- Laceration (deep cut), -31.771, -8.413
Grampus (Risso’s) dolphin, 12- Released trailing gear/gear perforating body, 60.988, -25.215
Fin whale 115, 12- Released trailing gear/gear perforating body, 32.714, -82.693
Dwarf sperm whale 203, 10- Equilibrium imbalance, 107.209, 52.353
Dwarf sperm whale 203, 13- Other wound or injury, 172.262, 38.907
Steller (northern) sea lion, 02- Loss of/damage to appendage/jaw, 44.187, -45.503
Spotted dolphin, 14- Killed, 129.548, -71.392
Bottlenose dolphin, 02- Loss of/damage to appendage/jaw, 173.171, -66.595
Northern right whale dolphin, 03- Inability to use appendage(s), 105.673, -52.168
North Atlantic right whale 101, 04- Asymmetry in shape of body or body position, -113.955, -4.316
Dall’s porpoise, 07- Rupture or puncture of eyeball, -172.085, -83.747
Beaked whale 131, 03- Inability to use appendage(s), -174.978, 17.398
Killer whale 129, 05- Any noticeable swelling or hemorrhage (bruising), -48.566, -3.577
Northern right whale dolphin, 13- Other wound or injury, 70.571, -78.71
Grampus (Risso’s) dolphin, 13- Other wound or injury, -141.134, -0.944
Atlantic white-sided dolphin, 08- Listlessness or inability to defend, 32.017, 69.426
Beluga whale 124, 12- Released trailing gear/gear perforating body, 87.192, -60.562
Beluga whale 124, 01 - Visible blood flow, -27.92, -64.6
Spotted dolphin, 05- Any noticeable swelling or hemorrhage (bruising), -170.479, -57.727
Grampus (Risso’s) dolphin, 09- Inability to swim or dive, 171.367, -85.475
Bryde’s whale 132, 06- Laceration (deep cut), -61.424, 55.866
False killer whale 127, 13- Other wound or injury, 125.027, -67.038
Sperm `whale 121, 07- Rupture or puncture of eyeball, -173.535, 31.01
North Atlantic right whale 101, 07- Rupture or puncture of eyeball, 3.741, -9.511
Unidentified toothed whale, 04- Asymmetry in shape of body or body position, 69.555, 51.217
Atlantic white-sided dolphin, 08- Listlessness or inability to defend, -111.83, 3.757
Dall’s porpoise, 13- Other wound or injury, 122.918, 59.435
Northern right whale dolphin, 14- Killed, 51.992, 35.689
Steller (northern) sea lion, 02- Loss of/damage to appendage/jaw, 118.271, -86.35
Beaked whale 131, 04- Asymmetry in shape of body or body position, -86.747, 2.467
Harbor porpoise, 09- Inability to swim or dive, -102.652, -67.554
Atlantic white-sided dolphin, 05- Any noticeable swelling or hemorrhage (bruising), -107.591, 47.566
Common dolphin, 14- Killed, -58.411, 46.494
Spotted dolphin, 13- Other wound or injury, 3.074, 20.963
Spinner dolphin, 14- Killed, -82.557, 25.192
Steller (northern) sea lion, 07- Rupture or puncture of eyeball, 37.837, 80.241
Spotted dolphin, 14- Killed, -72.478, -21.345
Bryde’s whale 132, 08- Listlessness or inability to defend, 88.828, -59.063
Bryde’s whale 132, 01 - Visible blood flow, -1.806, -71.029
Pacific white-sided dolphin, 02- Loss of/damage to appendage/jaw, 70.64, -28.603
Common dolphin, 11- Ingestion of gear, -21.157, 38.103
Atlantic white-sided dolphin, 02- Loss of/damage to appendage/jaw, 117.111, 31.054
Pacific white-sided dolphin, 12- Released trailing gear/gear perforating body, 145.115, 10.552
Bryde’s whale 132, 07- Rupture or puncture of eyeball, -12.75, -70.021
Pilot whale 130, 02- Loss of/damage to appendage/jaw, 43, -12.84
Beaked whale 131, 08- Listlessness or inability to defend, -24.55, 11.933
Beaked whale 131, 10- Equilibrium imbalance, -13.516, -38.773
Unidentified baleen whale 204, 02- Loss of/damage to appendage/jaw, -4.906, -29.639
Sperm `whale 121, 05- Any noticeable swelling or hemorrhage (bruising), 102.626, 13.641
Unidentified small cetacean, 02- Loss of/damage to appendage/jaw, 19.616, -67.514
Common dolphin, 01 - Visible blood flow, -11.607, -87.763
Unidentified toothed whale, 07- Rupture or puncture of eyeball, 91.075, -81.884
Beaked whale 131, 06- Laceration (deep cut), -168.183, 66.957
Spinner dolphin, 08- Listlessness or inability to defend, 52.784, -11.466
Unidentified small cetacean, 14- Killed, -162.261, 60.145
Unidentified small cetacean, 04- Asymmetry in shape of body or body position, 17.424, 47.263
Common dolphin, 13- Other wound or injury, -65.788, -27.355
Bottlenose dolphin, 07- Rupture or puncture of eyeball, 11.109, -5.315
Atlantic white-sided dolphin, 11- Ingestion of gear, -122.927, 89.947
Beaked whale 131, 13- Other wound or injury, -132.263, -24.881
Fin whale 115, 01 - Visible blood flow, -16.787, 22.711
Beluga whale 124, 12- Released trailing gear/gear perforating body, 94.9, 27.144
Sperm `whale 121, 14- Killed, 104.351, 65.335
Northern right whale dolphin, 04- Asymmetry in shape of body or body position, -139.284, -78.686
Gray whale 105, 04- Asymmetry in shape of body or body position, -22.668, 34.064
Spotted dolphin, 05- Any noticeable swelling or hemorrhage (bruising), 87.676, 6.865
False killer whale 127, 04- Asymmetry in shape of body or body position, -40.272, -37.123
Gray whale 105, 09- Inability to swim or dive, -98.339, 0.042
False killer whale 127, 02- Loss of/damage to appendage/jaw, -27.562, -28.677
Beluga whale 124, 03- Inability to use appendage(s), -118.556, 15.684
